snapshot_id,system_timestamp,system_cpu_percent,system_memory_percent,system_load_1min,system_process_count,timestamp,pid,name,status,ppid,cpu_percent,memory_percent,memory_mb,num_threads,nice,process_age,process_type,io_intensity,user_time,system_time,cmdline,cpu_rolling_mean,cpu_rolling_std,cpu_ewma,delta_cpu_time,delta_cpu_time_ewma,estimated_remaining_cpu_burst,last_scheduled_time,priority_score,context_switch_cost_estimate
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,0,System Idle Process,running,0,1335.900000,0.000048500580,0.007812,48,0,0.000000,system,0.000000,0.000000,7418537.781250,,1335.900000,0.000000,1335.900000,0.000000,0.000000,0.000000,inf,0.000000,0.580001
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,4,System,running,0,20.100000,0.035187171015,5.667969,465,0,0.000000,system,1077248.000000,0.000000,69580.843750,,20.100000,0.000000,20.100000,0.000000,0.000000,0.000000,inf,0.000000,4.750567
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,236,,stopped,4,0.000000,0.398868772465,64.250000,0,0,1731622.482283,other,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.106425
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,280,Registry,running,4,0.000000,0.346172891959,55.761719,4,0,1731622.467248,other,0.000000,0.000000,30.328125,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.145576
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,844,smss.exe,running,4,0.000000,0.003977047585,0.640625,2,0,1731620.542597,other,0.000000,0.046875,0.312500,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.120064
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,1044,chrome.exe,running,22468,0.000000,0.128987293333,20.777344,11,32,3782.121095,interactive,224.000000,0.828125,0.359375,"C:\Program Files\Google\Chrome\Application\chrome.exe --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --no-pre-read-main-dll --metrics-shmem-handle=1868,i,5513895044158886998,13284607941486729227,524288 --field-trial-handle=1964,i,5103440676170085816,16511799691962354531,262144 --variations-seed-version=20251008-010033.787000 --mojo-platform-channel-handle=2500 /prefetch:13",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,-32.000000,0.212078
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,1248,csrss.exe,running,980,0.000000,0.019594234445,3.156250,16,0,1731611.128550,other,0.000000,13.640625,81.109375,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.260316
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,1360,wininit.exe,running,980,0.000000,0.023256028258,3.746094,2,0,1731609.284734,other,0.000000,1.640625,1.500000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.120375
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,1436,services.exe,running,1360,0.000000,0.056066670838,9.031250,11,0,1731609.024760,other,0.000000,420.406250,549.921875,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.210903
1,1759985944.084028,7.800,82.900,0.000000,324,2025-10-09T10:29:04.084028,1456,LsaIso.exe,running,1360,0.000000,0.011737140435,1.890625,3,0,1731608.992050,other,0.000000,0.734375,1.328125,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.130189
