snapshot_id,system_timestamp,system_cpu_percent,system_memory_percent,system_load_1min,system_process_count,timestamp,pid,name,status,ppid,cpu_percent,memory_percent,memory_mb,num_threads,nice,process_age,process_type,io_intensity,user_time,system_time,cmdline,priority_score,priority_class
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,844,smss.exe,running,4,0.0,0.004001297876,0.644531,2,0,1677962.050939,other,0.0,0.046875,0.3125,,43.86,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,1360,wininit.exe,running,980,0.0,0.012003893627,1.933594,2,0,1677950.793076,other,0.0,1.5625,1.5,,42.83,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,1456,LsaIso.exe,running,1360,0.0,0.006693080083,1.078125,1,0,1677950.500392,other,0.0,0.703125,1.3125,,43.23,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,1536,svchost.exe,running,1436,0.0,0.010015369834,1.613281,1,0,1677916.102849,system,0.0,0.390625,0.484375,,43.66,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,1708,fontdrvhost.exe,running,1360,0.0,0.005650317606,0.910156,5,0,1677950.281717,other,0.0,0.09375,0.09375,,43.93,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,1932,svchost.exe,running,1436,0.0,0.009166609678,1.476562,3,0,1677950.068204,system,0.0,58.21875,6.96875,,19.0,Low
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,1964,WUDFHost.exe,running,1436,0.0,0.049664594237,8.0,11,0,1677950.130512,other,0.0,9.328125,10.375,,36.44,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,2136,WUDFHost.exe,running,1436,0.0,0.016102192663,2.59375,5,0,1677949.739773,other,0.0,0.421875,0.5625,,43.62,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,2208,svchost.exe,running,1436,0.0,0.035793428268,5.765625,3,0,1677950.045523,system,0.0,3.625,5.5,,40.5,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,2216,svchost.exe,running,1436,0.0,0.037296946258,6.007812,2,0,1677950.045426,system,0.0,6.359375,5.78125,,39.34,Medium
1,1759932285.592371,19.3,84.1,0.0,336,2025-10-08T19:34:45.592371,2244,svchost.exe,running,1436,0.0,0.016296194984,2.625,3,0,1677950.043978,system,0.0,15.46875,15.734375,,32.03,Medium
