snapshot_id,system_timestamp,system_cpu_percent,system_memory_percent,system_load_1min,system_process_count,timestamp,pid,name,status,ppid,cpu_percent,memory_percent,memory_mb,num_threads,nice,process_age,process_type,io_intensity,user_time,system_time,cmdline
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,0,System Idle Process,running,0,1307.200000,0.000048500580,0.007812,48,0,0.000000,system,0.000000,0.000000,7241603.531250,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,4,System,running,0,14.700000,0.033659402735,5.421875,450,0,0.000000,system,929792.000000,0.000000,67710.281250,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,236,,stopped,4,0.000000,0.398868772465,64.250000,0,0,1677963.990625,other,0.000000,0.000000,0.000000,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,280,Registry,running,4,0.000000,0.345760637026,55.695312,4,0,1677963.975590,other,0.000000,0.000000,29.750000,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,844,smss.exe,running,4,0.000000,0.004001297876,0.644531,2,0,1677962.050939,other,0.000000,0.046875,0.312500,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1248,csrss.exe,running,980,0.000000,0.016975203108,2.734375,16,0,1677952.636892,other,0.000000,13.312500,79.093750,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1360,wininit.exe,running,980,0.000000,0.012003893627,1.933594,2,0,1677950.793076,other,0.000000,1.562500,1.500000,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1436,services.exe,running,1360,0.100000,0.062274745117,10.031250,7,0,1677950.533103,other,0.000000,409.171875,533.703125,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1456,LsaIso.exe,running,1360,0.000000,0.006693080083,1.078125,1,0,1677950.500392,other,0.000000,0.703125,1.312500,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1464,lsass.exe,running,1360,0.200000,0.134467858908,21.660156,12,0,1677950.497187,other,0.000000,748.234375,820.875000,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1536,svchost.exe,running,1436,0.000000,0.010015369834,1.613281,1,0,1677916.102849,system,0.000000,0.390625,0.484375,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1672,svchost.exe,running,1436,0.100000,0.277229317049,44.656250,13,0,1677950.297595,system,0.000000,476.953125,553.625000,
1,1759932285.592371,19.300,84.100,0.000000,336,2025-10-08T19:34:45.592371,1708,fontdrvhost.exe,running,1360,0.000000,0.005650317606,0.910156,5,0,1677950.281717,other,0.000000,0.093750,0.093750,
